01.04.2016,10:50:13,OL,26.1,OL.1,OL.2
01.04.2016,10:50:15,OL,26.0,OL,OL
01.04.2016,10:50:17,OL,26.6,OL,OL
01.04.2016,10:50:19,OL,26.1,OL,OL
01.04.2016,10:50:21,OL,26.7,OL,OL
01.04.2016,10:50:23,OL,26.1,OL,OL
01.04.2016,10:50:25,OL,26.1,OL,OL
01.04.2016,10:50:27,OL,26.5,OL,OL
01.04.2016,10:50:29,OL,26.1,OL,OL
01.04.2016,10:50:31,OL,26.9,OL,OL
01.04.2016,10:50:33,OL,26.1,OL,OL
01.04.2016,10:50:35,OL,26.5,OL,OL
01.04.2016,10:50:37,OL,26.5,OL,OL
01.04.2016,10:50:39,OL,26.8,OL,OL
01.04.2016,10:50:41,OL,26.3,OL,OL
01.04.2016,10:50:43,OL,26.1,OL,OL
01.04.2016,10:50:45,OL,26.9,OL,OL
01.04.2016,10:50:47,OL,26.6,OL,OL
01.04.2016,10:50:49,OL,27.1,OL,OL
01.04.2016,10:50:51,OL,26.9,OL,OL
01.04.2016,10:50:53,OL,27.1,OL,OL
01.04.2016,10:50:55,OL,27.2,OL,OL
01.04.2016,10:50:57,OL,27.2,OL,OL
01.04.2016,10:50:59,OL,27.0,OL,OL
01.04.2016,10:51:01,OL,26.2,OL,OL
01.04.2016,10:51:03,OL,27.9,OL,OL
01.04.2016,10:51:05,OL,27.3,OL,OL
01.04.2016,10:51:07,OL,27.2,OL,OL
01.04.2016,10:51:09,OL,27.5,OL,OL
01.04.2016,10:51:11,OL,28.0,OL,OL
01.04.2016,10:51:13,OL,27.6,OL,OL
01.04.2016,10:51:15,OL,27.9,OL,OL
01.04.2016,10:51:17,OL,28.1,OL,OL
01.04.2016,10:51:19,OL,28.0,OL,OL
01.04.2016,10:51:21,OL,29.0,OL,OL
01.04.2016,10:51:23,OL,28.2,OL,OL
01.04.2016,10:51:25,OL,29.3,OL,OL
01.04.2016,10:51:27,OL,29.3,OL,OL
01.04.2016,10:51:29,OL,29.6,OL,OL
01.04.2016,10:51:31,OL,30.9,OL,OL
01.04.2016,10:51:33,OL,32.5,OL,OL
01.04.2016,10:51:35,OL,36.8,OL,OL
01.04.2016,10:51:37,OL,38.3,OL,OL
01.04.2016,10:51:39,OL,39.9,OL,OL
01.04.2016,10:51:41,OL,46.4,OL,OL
01.04.2016,10:51:43,OL,51.2,OL,OL
01.04.2016,10:51:45,OL,52.1,OL,OL
01.04.2016,10:51:47,OL,53.4,OL,OL
01.04.2016,10:51:49,OL,57.8,OL,OL
01.04.2016,10:51:51,OL,60.4,OL,OL
01.04.2016,10:51:53,OL,61.6,OL,OL
01.04.2016,10:51:55,OL,64.6,OL,OL
01.04.2016,10:51:57,OL,66.0,OL,OL
01.04.2016,10:51:59,OL,66.9,OL,OL
01.04.2016,10:52:01,OL,68.0,OL,OL
01.04.2016,10:52:03,OL,71.8,OL,OL
01.04.2016,10:52:05,OL,72.3,OL,OL
01.04.2016,10:52:07,OL,76.2,OL,OL
01.04.2016,10:52:09,OL,80.6,OL,OL
01.04.2016,10:52:11,OL,80.3,OL,OL
01.04.2016,10:52:13,OL,81.5,OL,OL
01.04.2016,10:52:15,OL,84.8,OL,OL
01.04.2016,10:52:17,OL,85.5,OL,OL
01.04.2016,10:52:19,OL,86.7,OL,OL
01.04.2016,10:52:21,OL,88.0,OL,OL
01.04.2016,10:52:23,OL,92.1,OL,OL
01.04.2016,10:52:25,OL,93.9,OL,OL
01.04.2016,10:52:27,OL,95.0,OL,OL
01.04.2016,10:52:29,OL,96.6,OL,OL
01.04.2016,10:52:31,OL,100.8,OL,OL
01.04.2016,10:52:33,OL,102.4,OL,OL
01.04.2016,10:52:35,OL,101.5,OL,OL
01.04.2016,10:52:37,OL,103.7,OL,OL
01.04.2016,10:52:39,OL,108.2,OL,OL
01.04.2016,10:52:41,OL,111.2,OL,OL
01.04.2016,10:52:43,OL,111.5,OL,OL
01.04.2016,10:52:45,OL,113.0,OL,OL
01.04.2016,10:52:47,OL,115.2,OL,OL
01.04.2016,10:52:49,OL,108.2,OL,OL
01.04.2016,10:52:51,OL,102.8,OL,OL
01.04.2016,10:52:53,OL,99.2,OL,OL
01.04.2016,10:52:55,OL,95.6,OL,OL
01.04.2016,10:52:57,OL,93.1,OL,OL
01.04.2016,10:52:59,OL,90.9,OL,OL
01.04.2016,10:53:01,OL,89.0,OL,OL
01.04.2016,10:53:03,OL,86.8,OL,OL
01.04.2016,10:53:05,OL,86.0,OL,OL
01.04.2016,10:53:07,OL,84.9,OL,OL
01.04.2016,10:53:09,OL,85.0,OL,OL
