01.04.2016,10:50:13,OL,26.1,OL.1,OL.2
01.04.2016,10:50:15,OL,25.9,OL,OL
01.04.2016,10:50:17,OL,26.4,OL,OL
01.04.2016,10:50:19,OL,26.3,OL,OL
01.04.2016,10:50:21,OL,25.9,OL,OL
01.04.2016,10:50:23,OL,26.5,OL,OL
01.04.2016,10:50:25,OL,26.8,OL,OL
01.04.2016,10:50:27,OL,25.8,OL,OL
01.04.2016,10:50:29,OL,26.3,OL,OL
01.04.2016,10:50:31,OL,26.0,OL,OL
01.04.2016,10:50:33,OL,26.1,OL,OL
01.04.2016,10:50:35,OL,26.5,OL,OL
01.04.2016,10:50:37,OL,26.1,OL,OL
01.04.2016,10:50:39,OL,26.6,OL,OL
01.04.2016,10:50:41,OL,26.1,OL,OL
01.04.2016,10:50:43,OL,26.2,OL,OL
01.04.2016,10:50:45,OL,27.4,OL,OL
01.04.2016,10:50:47,OL,27.1,OL,OL
01.04.2016,10:50:49,OL,27.1,OL,OL
01.04.2016,10:50:51,OL,27.5,OL,OL
01.04.2016,10:50:53,OL,26.4,OL,OL
01.04.2016,10:50:55,OL,27.1,OL,OL
01.04.2016,10:50:57,OL,27.3,OL,OL
01.04.2016,10:50:59,OL,26.4,OL,OL
01.04.2016,10:51:01,OL,27.1,OL,OL
01.04.2016,10:51:03,OL,27.8,OL,OL
01.04.2016,10:51:05,OL,27.3,OL,OL
01.04.2016,10:51:07,OL,27.7,OL,OL
01.04.2016,10:51:09,OL,27.6,OL,OL
01.04.2016,10:51:11,OL,27.8,OL,OL
01.04.2016,10:51:13,OL,27.4,OL,OL
01.04.2016,10:51:15,OL,28.2,OL,OL
01.04.2016,10:51:17,OL,28.0,OL,OL
01.04.2016,10:51:19,OL,28.2,OL,OL
01.04.2016,10:51:21,OL,28.3,OL,OL
01.04.2016,10:51:23,OL,29.6,OL,OL
01.04.2016,10:51:25,OL,29.3,OL,OL
01.04.2016,10:51:27,OL,29.7,OL,OL
01.04.2016,10:51:29,OL,29.4,OL,OL
01.04.2016,10:51:31,OL,30.6,OL,OL
01.04.2016,10:51:33,OL,32.7,OL,OL
01.04.2016,10:51:35,OL,37.1,OL,OL
01.04.2016,10:51:37,OL,38.8,OL,OL
01.04.2016,10:51:39,OL,40.4,OL,OL
01.04.2016,10:51:41,OL,46.1,OL,OL
01.04.2016,10:51:43,OL,51.8,OL,OL
01.04.2016,10:51:45,OL,52.5,OL,OL
01.04.2016,10:51:47,OL,54.0,OL,OL
01.04.2016,10:51:49,OL,57.7,OL,OL
01.04.2016,10:51:51,OL,59.4,OL,OL
01.04.2016,10:51:53,OL,61.9,OL,OL
01.04.2016,10:51:55,OL,64.2,OL,OL
01.04.2016,10:51:57,OL,65.0,OL,OL
01.04.2016,10:51:59,OL,66.5,OL,OL
01.04.2016,10:52:01,OL,68.4,OL,OL
01.04.2016,10:52:03,OL,71.4,OL,OL
01.04.2016,10:52:05,OL,73.5,OL,OL
01.04.2016,10:52:07,OL,76.3,OL,OL
01.04.2016,10:52:09,OL,79.4,OL,OL
01.04.2016,10:52:11,OL,80.1,OL,OL
01.04.2016,10:52:13,OL,81.2,OL,OL
01.04.2016,10:52:15,OL,84.3,OL,OL
01.04.2016,10:52:17,OL,85.4,OL,OL
01.04.2016,10:52:19,OL,86.7,OL,OL
01.04.2016,10:52:21,OL,87.7,OL,OL
01.04.2016,10:52:23,OL,92.0,OL,OL
01.04.2016,10:52:25,OL,93.9,OL,OL
01.04.2016,10:52:27,OL,94.7,OL,OL
01.04.2016,10:52:29,OL,96.9,OL,OL
01.04.2016,10:52:31,OL,100.6,OL,OL
01.04.2016,10:52:33,OL,101.3,OL,OL
01.04.2016,10:52:35,OL,102.0,OL,OL
