01.04.2016,10:54:17,OL,97.7,OL,OL
01.04.2016,10:54:19,OL,97.2,OL,OL
01.04.2016,10:54:21,OL,96.7,OL,OL
01.04.2016,10:54:23,OL,96.6,OL,OL
01.04.2016,10:54:25,OL,96.0,OL,OL
01.04.2016,10:54:27,OL,95.9,OL,OL
01.04.2016,10:54:29,OL,95.6,OL,OL
01.04.2016,10:54:31,OL,95.1,OL,OL
01.04.2016,10:54:33,OL,95.6,OL,OL
01.04.2016,10:54:35,OL,94.9,OL,OL
01.04.2016,10:54:37,OL,95.1,OL,OL
01.04.2016,10:54:39,OL,94.6,OL,OL
01.04.2016,10:54:41,OL,94.9,OL,OL
01.04.2016,10:54:43,OL,94.3,OL,OL
01.04.2016,10:54:45,OL,94.2,OL,OL
01.04.2016,10:54:47,OL,94.0,OL,OL
01.04.2016,10:54:49,OL,93.6,OL,OL
01.04.2016,10:54:51,OL,93.8,OL,OL
01.04.2016,10:54:53,OL,93.7,OL,OL
01.04.2016,10:54:55,OL,93.4,OL,OL
01.04.2016,10:54:57,OL,93.5,OL,OL
01.04.2016,10:54:59,OL,93.3,OL,OL
01.04.2016,10:55:01,OL,93.4,OL,OL
01.04.2016,10:55:03,OL,93.4,OL,OL
01.04.2016,10:55:05,OL,93.5,OL,OL
01.04.2016,10:55:07,OL,93.6,OL,OL
01.04.2016,10:55:09,OL,93.8,OL,OL
01.04.2016,10:55:11,OL,93.7,OL,OL
01.04.2016,10:55:13,OL,93.9,OL,OL
01.04.2016,10:55:15,OL,94.3,OL,OL
01.04.2016,10:55:17,OL,94.5,OL,OL
01.04.2016,10:55:19,OL,94.4,OL,OL
01.04.2016,10:55:21,OL,95.2,OL,OL
01.04.2016,10:55:23,OL,95.2,OL,OL
01.04.2016,10:55:25,OL,94.9,OL,OL
01.04.2016,10:55:27,OL,95.7,OL,OL
01.04.2016,10:55:29,OL,95.7,OL,OL
01.04.2016,10:55:31,OL,95.9,OL,OL
01.04.2016,10:55:33,OL,96.1,OL,OL
01.04.2016,10:55:35,OL,98.7,OL,OL
01.04.2016,10:55:37,OL,102.5,OL,OL
01.04.2016,10:55:39,OL,121.5,OL,OL
01.04.2016,10:55:41,OL,142.1,OL,OL
01.04.2016,10:55:43,OL,146.8,OL,OL
01.04.2016,10:55:45,OL,146.4,OL,OL
01.04.2016,10:55:47,OL,147.6,OL,OL
01.04.2016,10:55:49,OL,147.7,OL,OL
01.04.2016,10:55:51,OL,147.5,OL,OL
01.04.2016,10:55:53,OL,146.9,OL,OL
01.04.2016,10:55:55,OL,146.1,OL,OL
01.04.2016,10:55:57,OL,146.3,OL,OL
01.04.2016,10:55:59,OL,146.9,OL,OL
01.04.2016,10:56:01,OL,147.5,OL,OL
01.04.2016,10:56:03,OL,147.5,OL,OL
01.04.2016,10:56:05,OL,148.6,OL,OL
01.04.2016,10:56:07,OL,149.6,OL,OL
01.04.2016,10:56:09,OL,151.4,OL,OL
01.04.2016,10:56:11,OL,151.7,OL,OL
01.04.2016,10:56:13,OL,154.8,OL,OL
01.04.2016,10:56:15,OL,159.6,OL,OL
01.04.2016,10:56:17,OL,167.2,OL,OL
01.04.2016,10:56:19,OL,171.8,OL,OL
01.04.2016,10:56:21,OL,172.2,OL,OL
01.04.2016,10:56:23,OL,171.9,OL,OL
01.04.2016,10:56:25,OL,170.1,OL,OL
01.04.2016,10:56:27,OL,167.2,OL,OL
01.04.2016,10:56:29,OL,162.6,OL,OL
01.04.2016,10:56:31,OL,159.4,OL,OL
01.04.2016,10:56:33,OL,156.3,OL,OL
01.04.2016,10:56:35,OL,152.9,OL,OL
01.04.2016,10:56:37,OL,149.7,OL,OL
01.04.2016,10:56:39,OL,148.0,OL,OL
01.04.2016,10:56:41,OL,145.0,OL,OL
