date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-14,04:49:42,5.89,3.7,27.2,81.1,0,0.05,0
2025-01-14,04:49:52,4.99,3.7,27.58,81.71,0,0.01,0.01
2025-01-14,04:50:02,4.99,3.7,27.87,85.08,0,0,0.03
2025-01-14,04:50:12,4.99,3.7,28.11,85.67,0.08,0.74,242.11
2025-01-14,04:50:22,4.99,3.7,28.39,84.98,0,1.88,58.91
2025-01-14,04:50:32,4.99,3.7,28.62,83.83,0,1.69,20.46
2025-01-14,04:50:42,4.99,3.7,28.86,83.05,0.08,2.95,51.42
2025-01-14,04:50:52,4.99,3.7,29.06,82.26,0,0.06,27.75
2025-01-14,04:51:02,4.99,3.7,29.25,81.3,0,7.17,176.88
2025-01-14,04:51:13,4.99,3.7,29.44,80.55,0.01,5.17,108.16
2025-01-14,04:51:23,4.99,3.7,29.6,79.91,0.04,8.28,390.5
2025-01-14,04:51:33,4.99,3.7,29.76,79.26,0,2.28,153.38
2025-01-14,04:51:43,4.99,3.7,29.9,78.45,0.06,1.05,21.69
2025-01-14,04:51:53,4.99,3.7,30.04,77.65,0,1.11,23.74
2025-01-14,04:52:03,4.99,3.7,30.2,77.02,0.01,0.57,5.73
2025-01-14,04:52:13,4.99,3.7,30.3,76.43,0.05,3.72,45.59
2025-01-14,04:52:23,4.99,3.7,30.41,75.89,0,1.24,11.44
2025-01-14,04:52:33,4.99,3.7,30.55,75.43,0,8.21,208.05
2025-01-14,04:52:43,4.99,3.7,30.65,74.94,0.02,3.56,38.37
2025-01-14,04:52:53,4.99,3.7,30.72,74.53,0,2.86,59.05
2025-01-14,04:53:03,4.99,3.7,30.83,74.07,0.16,1.64,22.52
2025-01-14,04:53:13,4.99,3.7,30.95,73.68,0,1.86,16.09
2025-01-14,04:53:23,4.99,3.7,31,73.33,0,7.28,198.81
2025-01-14,04:53:33,4.99,3.7,31.1,73.07,0.01,4.44,76.85
2025-01-14,04:53:43,4.99,3.7,31.19,72.79,0,5.48,128.83
2025-01-14,04:53:53,4.99,3.7,31.26,72.54,0.03,4.85,85.83
2025-01-14,04:54:03,4.99,3.7,31.34,72.28,0.07,7.95,461.96
2025-01-14,04:54:13,4.99,3.7,31.42,72,0,3.82,1131.2
2025-01-14,04:54:23,4.99,3.7,31.47,71.84,0,1.99,1492.48
2025-01-14,04:54:33,4.99,3.7,31.54,71.71,0.04,2.19,1454.64
2025-01-14,04:54:43,4.99,3.7,31.62,71.57,0.01,2.61,1558.26
2025-01-14,04:54:53,4.99,3.7,31.67,71.33,0.05,4.19,1393.73
2025-01-14,04:55:03,4.99,3.7,31.73,71.11,0,7.09,428.92
2025-01-14,04:55:13,4.99,3.7,31.8,70.95,0,5.61,298.46
2025-01-14,04:55:23,4.99,3.7,31.86,70.8,0.02,3.53,135.79
2025-01-14,04:55:33,4.99,3.7,31.9,70.63,0,2.91,73.26
2025-01-14,04:55:43,4.99,3.7,31.96,70.46,0.03,2.84,282.52
