date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-14,04:49:42,5.89,3.7,27.2,81.1,0.02,0,0
2025-01-14,04:49:52,4.99,3.7,27.58,81.71,0,0.04,0.02
2025-01-14,04:50:02,4.99,3.7,27.87,85.08,0,0.01,0
2025-01-14,04:50:12,4.99,3.7,28.11,85.67,0,0.72,242.18
2025-01-14,04:50:22,4.99,3.7,28.39,84.98,0.01,1.99,58.91
2025-01-14,04:50:32,4.99,3.7,28.62,83.83,0.02,1.78,20.45
2025-01-14,04:50:42,4.99,3.7,28.86,83.05,0,2.92,51.39
2025-01-14,04:50:52,4.99,3.7,29.06,82.26,0,0.03,27.76
2025-01-14,04:51:02,4.99,3.7,29.25,81.3,0,7.18,176.87
2025-01-14,04:51:13,4.99,3.7,29.44,80.55,0,5.1,108.13
2025-01-14,04:51:23,4.99,3.7,29.6,79.91,0,8.29,390.53
2025-01-14,04:51:33,4.99,3.7,29.76,79.26,0.02,2.31,153.31
2025-01-14,04:51:43,4.99,3.7,29.9,78.45,0,1.13,21.66
2025-01-14,04:51:53,4.99,3.7,30.04,77.65,0,0.99,23.75
2025-01-14,04:52:03,4.99,3.7,30.2,77.02,0,0.64,5.73
2025-01-14,04:52:13,4.99,3.7,30.3,76.43,0,3.75,45.63
2025-01-14,04:52:23,4.99,3.7,30.41,75.89,0,1.28,11.42
2025-01-14,04:52:33,4.99,3.7,30.55,75.43,0,8.26,208.08
2025-01-14,04:52:43,4.99,3.7,30.65,74.94,0.01,3.59,38.34
2025-01-14,04:52:53,4.99,3.7,30.72,74.53,0,2.81,58.95
2025-01-14,04:53:03,4.99,3.7,30.83,74.07,0.02,1.7,22.51
2025-01-14,04:53:13,4.99,3.7,30.95,73.68,0,1.9,16.09
2025-01-14,04:53:23,4.99,3.7,31,73.33,0.01,7.22,198.8
2025-01-14,04:53:33,4.99,3.7,31.1,73.07,0.01,4.43,76.87
2025-01-14,04:53:43,4.99,3.7,31.19,72.79,0,5.46,128.8
2025-01-14,04:53:53,4.99,3.7,31.26,72.54,0.01,4.77,85.83
2025-01-14,04:54:03,4.99,3.7,31.34,72.28,0.04,7.87,461.92
2025-01-14,04:54:13,4.99,3.7,31.42,72,0,3.82,1131.15
2025-01-14,04:54:23,4.99,3.7,31.47,71.84,0,2.03,1492.51
2025-01-14,04:54:33,4.99,3.7,31.54,71.71,0.01,2.15,1454.66
2025-01-14,04:54:43,4.99,3.7,31.62,71.57,0.03,2.61,1558.25
2025-01-14,04:54:53,4.99,3.7,31.67,71.33,0,4.18,1393.71
2025-01-14,04:55:03,4.99,3.7,31.73,71.11,0,7.05,428.88
2025-01-14,04:55:13,4.99,3.7,31.8,70.95,0.03,5.6,298.57
2025-01-14,04:55:23,4.99,3.7,31.86,70.8,0.01,3.49,135.73
2025-01-14,04:55:33,4.99,3.7,31.9,70.63,0,2.97,73.22
2025-01-14,04:55:43,4.99,3.7,31.96,70.46,0.05,2.87,282.53
2025-01-14,04:55:53,4.99,3.7,32.03,70.31,0,6,202.25
2025-01-14,04:56:03,4.99,3.7,32.09,70.12,0,3.13,31.02
2025-01-14,04:56:13,4.99,3.7,32.14,70,0.04,3.76,57.04
2025-01-14,04:56:23,4.99,3.7,32.2,69.91,0,6.2,42.1
2025-01-14,04:56:33,4.99,3.7,32.23,69.78,0.02,3.08,41.14
2025-01-14,04:56:43,4.99,3.7,32.27,69.64,0,5.56,100.52
2025-01-14,04:56:53,4.99,3.7,32.31,69.46,0.03,1.41,18.66
2025-01-14,04:57:03,4.99,3.7,32.38,69.29,0,1.65,40.03
2025-01-14,04:57:13,4.99,3.7,32.44,69.13,0.01,4.46,166.03
2025-01-14,04:57:23,4.99,3.7,32.45,68.94,0.02,3.92,158.81
2025-01-14,04:57:33,4.99,3.7,32.53,68.91,0.03,4.79,513.33
2025-01-14,04:57:43,4.99,3.7,32.55,68.82,0.01,4.77,250.9
2025-01-14,04:57:53,4.99,3.7,32.6,68.68,0.01,1.78,19.2
2025-01-14,04:58:03,4.99,3.7,32.63,68.55,0,5.25,64.36
2025-01-14,04:58:13,4.99,3.7,32.68,68.4,0,4.69,91.89
2025-01-14,04:58:23,4.99,3.7,32.68,68.22,0.04,5.91,129.38
2025-01-14,04:58:33,4.99,3.7,32.77,68.15,0,1.51,72.91
2025-01-14,04:58:43,4.99,3.7,32.81,68.1,0.03,2.82,255.33
2025-01-14,04:58:53,4.99,3.7,32.85,68.02,0,4.55,208.03
2025-01-14,04:59:03,4.99,3.7,32.89,68.03,0.02,6.81,305.39
2025-01-14,04:59:13,4.99,3.7,32.94,67.9,0,5.77,185.76
2025-01-14,04:59:23,4.99,3.7,32.99,67.84,0,2.75,56.53
2025-01-14,04:59:33,4.99,3.7,32.99,67.82,0,7.26,694.65
2025-01-14,04:59:43,4.99,3.7,33.07,67.8,0.03,4.25,309.96
2025-01-14,04:59:53,4.99,3.7,33.11,67.6,0.02,6.65,668.07
2025-01-14,05:00:03,4.99,3.7,33.14,67.5,0.04,6.22,227.39
2025-01-14,05:00:13,4.99,3.7,33.17,67.5,0.01,0.7,15.01
2025-01-14,05:00:23,4.99,3.7,33.21,67.46,0.01,0.7,69.22
2025-01-14,05:00:33,4.99,3.7,33.22,67.34,0,0.64,4.7
2025-01-14,05:00:44,4.99,3.7,33.25,67.3,0,1.79,29.76
2025-01-14,05:00:54,4.99,3.7,33.29,67.24,0,4.41,224.19
2025-01-14,05:01:04,4.99,3.7,33.33,67.08,0.01,5.58,147.06
2025-01-14,05:01:14,4.99,3.7,33.35,66.86,0,5.21,53.1
2025-01-14,05:01:24,4.99,3.7,33.39,66.83,0.01,2.25,18.93
2025-01-14,05:01:34,4.99,3.7,33.42,66.75,0.01,5.46,104.48
2025-01-14,05:01:44,4.99,3.7,33.45,66.67,0.02,8.27,609.19
2025-01-14,05:01:54,4.99,3.7,33.49,66.62,0.03,11.74,362.82
2025-01-14,05:02:04,4.99,3.7,33.49,66.33,0.04,6.29,148.89
2025-01-14,05:02:14,4.99,3.7,33.55,66.37,0,4.44,29.99
2025-01-14,05:02:24,4.99,3.7,33.56,66.14,0,0.33,1.81
2025-01-14,05:02:34,4.99,3.7,33.58,66.01,0.02,2.61,21.96
2025-01-14,05:02:44,4.99,3.7,33.62,66.02,0,0,0.02
2025-01-14,05:02:54,4.99,3.7,33.61,66.04,0,0,0.01
2025-01-14,05:03:04,4.99,3.7,33.65,66.08,0,2.27,26.24
2025-01-14,05:03:14,4.99,3.7,33.68,65.91,0,0.36,1.85
2025-01-14,05:03:24,4.99,3.7,33.68,65.84,0.03,1.24,10.42
2025-01-14,05:03:34,4.99,3.7,33.69,65.72,0.02,0,0
2025-01-14,05:03:44,4.99,3.7,33.73,65.59,0,1.04,15.57
2025-01-14,05:03:54,4.99,3.7,33.73,65.43,0,2.24,10.85
2025-01-14,05:04:04,4.99,3.7,33.73,65.47,0,0,0
2025-01-14,05:04:14,4.99,3.7,33.77,65.6,0,0.39,1.82
2025-01-14,05:04:24,4.99,3.7,33.79,65.5,0,0.72,3.63
2025-01-14,05:04:34,4.99,3.7,33.82,65.43,0,2.73,18.61
2025-01-14,05:04:44,4.99,3.7,33.82,65.31,0,1.25,11.37
2025-01-14,05:04:54,4.99,3.7,33.82,65.22,0,3.11,85.24
2025-01-14,05:05:04,4.99,3.7,33.86,65.19,0,4.06,77.72
2025-01-14,05:05:14,4.99,3.7,33.88,65.12,0.03,4.12,57.97
2025-01-14,05:05:24,4.99,3.7,33.89,65.06,0,0.37,1.8
2025-01-14,05:05:34,4.99,3.7,33.89,65.02,0.02,0,0.01
2025-01-14,05:05:44,4.99,3.7,33.89,64.92,0.01,0.75,3.63
2025-01-14,05:05:54,4.99,3.7,33.91,64.86,0.03,1.92,16.11
2025-01-14,05:06:04,4.99,3.7,33.92,64.75,0,0,0
2025-01-14,05:06:14,4.99,3.7,33.95,64.75,0.01,0.26,3.89
2025-01-14,05:06:24,4.99,3.7,33.96,64.69,0,0,0.02
2025-01-14,05:06:34,4.99,3.7,33.96,64.72,0,0.99,7.54
2025-01-14,05:06:44,4.99,3.7,33.99,64.71,0.01,0,0
2025-01-14,05:06:54,4.99,3.7,33.96,64.75,0.04,0.03,0
2025-01-14,05:07:04,4.99,3.7,34,64.71,0.01,0.18,7.22
2025-01-14,05:07:14,4.99,3.7,34.02,64.57,0,0,0
2025-01-14,05:07:24,4.99,3.7,34.05,64.5,0,1.44,5.22
2025-01-14,05:07:34,4.99,3.7,34.05,64.55,0,0.37,1.82
2025-01-14,05:07:44,4.99,3.7,34.06,64.55,0,0.71,3.6
2025-01-14,05:07:54,4.99,3.7,34.06,64.54,0.02,3.23,17.34
2025-01-14,05:08:04,4.99,3.7,34.06,64.46,0.01,2.89,21.59
2025-01-14,05:08:14,4.99,3.7,34.09,64.38,0.05,5.12,22.26
2025-01-14,05:08:24,4.99,3.7,34.09,64.3,0,1.1,5.42
2025-01-14,05:08:34,4.99,3.7,34.1,64.22,0.01,2.96,31.71
2025-01-14,05:08:44,4.99,3.7,34.09,64.19,0.03,2.45,13.73
2025-01-14,05:08:54,4.99,3.7,34.1,64.1,0,5.93,120.69
2025-01-14,05:09:04,4.99,3.7,34.12,64.09,0.01,4.73,31.6
2025-01-14,05:09:14,4.99,3.7,34.13,64.12,0,0.79,67.14
2025-01-14,05:09:24,4.99,3.7,34.15,64.11,0.01,3.43,273.39
2025-01-14,05:09:34,4.99,3.7,34.17,64.05,0.04,2.46,196.3
2025-01-14,05:09:44,4.99,3.7,34.16,64.12,0.04,5.67,84.08
2025-01-14,05:09:54,4.99,3.7,34.19,64.18,0.02,3.88,60.86
2025-01-14,05:10:04,4.99,3.7,34.17,64.29,0.03,8.77,123.73
2025-01-14,05:10:14,4.99,3.7,34.19,64.27,0.05,6.53,63.86
2025-01-14,05:10:25,4.99,3.7,34.2,64.25,0.02,9.76,150.97
2025-01-14,05:10:35,4.99,3.7,34.2,64.26,0.02,3.01,22.52
2025-01-14,05:10:45,4.99,3.7,34.24,64.27,0,2.89,55.87
2025-01-14,05:10:55,4.99,3.7,34.23,64.15,0.01,3.23,106.04
2025-01-14,05:11:05,4.99,3.7,34.26,64.16,0.02,3.83,272.57
2025-01-14,05:11:15,4.99,3.7,34.24,64.16,0,1.2,188.29
2025-01-14,05:11:25,4.99,3.7,34.26,64.13,0.02,3.12,96.32
2025-01-14,05:11:35,4.99,3.7,34.26,64.05,0,7.93,251.92
2025-01-14,05:11:45,4.99,3.7,34.26,63.96,0,5.93,100.8
2025-01-14,05:11:55,4.99,3.7,34.3,63.97,0,4.07,101.46
2025-01-14,05:12:05,4.99,3.7,34.27,64.07,0,2.21,183.8
2025-01-14,05:12:15,4.99,3.7,34.3,64.03,0,5.39,137.62
2025-01-14,05:12:25,4.99,3.7,34.3,63.91,0,6.49,116.65
2025-01-14,05:12:35,4.99,3.7,34.32,63.98,0,1.16,14.77
2025-01-14,05:12:45,4.99,3.7,34.35,64.15,0,0.74,2.6
2025-01-14,05:12:55,4.99,3.7,34.35,63.99,0,3.26,46.09
2025-01-14,05:13:05,4.99,3.7,34.35,64,0,1.99,58.08
2025-01-14,05:13:15,4.99,3.7,34.36,63.9,0.02,2.94,21.54
2025-01-14,05:13:25,4.99,3.7,34.36,63.91,0,5.99,53.61
2025-01-14,05:13:35,4.99,3.7,34.38,63.92,0.05,4.38,68.75
2025-01-14,05:13:45,4.99,3.7,34.38,63.94,0.02,2.79,79.92
2025-01-14,05:13:55,4.99,3.7,34.39,64.04,0,5.45,335.26
2025-01-14,05:14:05,4.99,3.7,34.39,63.9,0.01,1.18,79.54
2025-01-14,05:14:15,4.99,3.7,34.42,63.83,0,2.37,16.84
2025-01-14,05:14:25,4.99,3.7,34.42,63.74,0,5.08,75.29
2025-01-14,05:14:35,4.99,3.7,34.43,63.81,0.05,2.8,14.58
2025-01-14,05:14:45,4.99,3.7,34.44,63.89,0.04,6.16,117.08
2025-01-14,05:14:55,4.99,3.7,34.44,63.88,0,4.07,214.94
2025-01-14,05:15:05,4.99,3.7,34.46,63.88,0.02,2.31,318.04
2025-01-14,05:15:15,4.99,3.7,34.44,63.63,0.04,0.8,50.88
2025-01-14,05:15:25,4.99,3.7,34.49,63.92,0.04,1,16.06
2025-01-14,05:15:35,4.99,3.7,34.5,63.99,0.04,8.36,67.19
2025-01-14,05:15:45,4.99,3.7,34.51,64.1,0.01,0.39,1.81
2025-01-14,05:15:55,4.99,3.7,34.51,64.02,0,4.71,79.93
2025-01-14,05:16:05,4.99,3.7,34.49,63.83,0,8.47,297.28
2025-01-14,05:16:15,4.99,3.7,34.53,63.9,0.02,9.87,221.11
2025-01-14,05:16:25,4.99,3.7,34.53,63.85,0.02,9.59,105.28
2025-01-14,05:16:35,4.99,3.7,34.56,63.77,0.03,6.19,23.68
2025-01-14,05:16:45,4.99,3.7,34.54,63.86,0.04,10.52,46.49
2025-01-14,05:16:55,4.99,3.7,34.56,63.67,0.04,3.25,24.39
2025-01-14,05:17:05,4.99,3.7,34.59,63.77,0,4.8,116.13
2025-01-14,05:17:15,4.99,3.7,34.59,63.68,0.02,4.49,82.43
2025-01-14,05:17:25,4.99,3.7,34.6,63.66,0.03,3.81,18.02
2025-01-14,05:17:35,4.99,3.7,34.6,63.87,0.03,13.42,89.19
2025-01-14,05:17:45,4.99,3.7,34.63,64.09,0.01,1.07,4.4
2025-01-14,05:17:55,4.99,3.7,34.63,64.02,0.01,6.3,120.84
2025-01-14,05:18:05,4.99,3.7,34.64,63.91,0.02,5.07,224.13
2025-01-14,05:18:15,4.99,3.7,34.64,63.78,0.01,3.5,322.83
2025-01-14,05:18:25,4.99,3.7,34.66,63.49,0.04,2.57,51.26
2025-01-14,05:18:35,4.99,3.7,34.66,63.3,0,3.45,42.95
2025-01-14,05:18:45,4.99,3.7,34.69,63.22,0.04,3.84,22.03
2025-01-14,05:18:55,4.99,3.7,34.67,63.28,0,1.45,4.21
2025-01-14,05:19:05,4.99,3.7,34.69,63.47,0,0.24,3.9
2025-01-14,05:19:15,4.99,3.7,34.71,63.34,0.05,0.78,22.51
2025-01-14,05:19:25,4.99,3.7,34.71,63.01,0.02,3.17,13.35
2025-01-14,05:19:35,4.99,3.7,34.73,63.06,0,2.86,107.68
2025-01-14,05:19:45,4.99,3.7,34.75,63.03,0.03,2.24,118.6
2025-01-14,05:19:56,4.99,3.7,34.73,63.01,0.02,5.58,90.64
2025-01-14,05:20:06,4.99,3.7,34.75,62.98,0,1.45,5.2
2025-01-14,05:20:16,4.99,3.7,34.75,62.91,0.01,8.26,58.11
2025-01-14,05:20:26,4.99,3.7,34.79,62.96,0,0.34,0.8
2025-01-14,05:20:36,4.99,3.7,34.79,63.01,0,0.72,2.6
2025-01-14,05:20:46,4.99,3.7,34.8,62.91,0,6.59,124.7
2025-01-14,05:20:56,4.99,3.7,34.82,63.05,0,3.32,194.42
2025-01-14,05:21:06,4.99,3.7,34.83,63.06,0,3.12,195.67
2025-01-14,05:21:16,4.99,3.7,34.82,63.02,0.02,3.86,61.28
2025-01-14,05:21:26,4.99,3.7,34.82,62.8,0,4.65,69.41
2025-01-14,05:21:36,4.99,3.7,34.84,62.74,0.03,5.76,64.81
2025-01-14,05:21:46,4.99,3.7,34.83,62.77,0,1.08,4.41
2025-01-14,05:21:56,4.99,3.7,34.87,62.7,0.01,1.01,7.51
2025-01-14,05:22:06,4.99,3.7,34.89,62.53,0.02,2.61,85.51
2025-01-14,05:22:16,4.99,3.7,34.87,62.49,0.03,3.12,175.16
2025-01-14,05:22:26,4.99,3.7,34.9,62.46,0.02,2.71,17.59
2025-01-14,05:22:36,4.99,3.7,34.9,62.24,0,2.81,149.15
2025-01-14,05:22:46,4.99,3.7,34.9,62.26,0.01,1.98,191.69
2025-01-14,05:22:56,4.99,3.7,34.94,62.29,0,3.11,307.62
2025-01-14,05:23:06,4.99,3.7,34.95,62.23,0.01,4.83,165.54
2025-01-14,05:23:16,4.99,3.7,34.93,61.99,0.02,1.78,55.18
2025-01-14,05:23:26,4.99,3.7,34.94,62.2,0.04,4.38,199.91
2025-01-14,05:23:36,4.99,3.7,34.94,62.08,0.04,2.18,98.15
2025-01-14,05:23:46,4.99,3.7,34.97,61.94,0,0.33,0.83
2025-01-14,05:23:56,4.99,3.7,34.98,62.16,0,2.77,199.41
2025-01-14,05:24:06,4.99,3.7,35,62.24,0,6.64,98.21
2025-01-14,05:24:16,4.99,3.7,35,62.08,0,0.04,0
2025-01-14,05:24:26,4.99,3.7,35.01,61.91,0.01,0,0.03
2025-01-14,05:24:36,4.99,3.7,35.01,61.83,0.02,1.34,33.52
2025-01-14,05:24:46,4.99,3.7,35.03,61.78,0,4.24,58.08
2025-01-14,05:24:56,4.99,3.7,35.03,61.87,0.01,2.05,67.2
2025-01-14,05:25:06,4.99,3.7,35.06,62.07,0.01,3.92,40.43
2025-01-14,05:25:16,4.99,3.7,35.04,62.18,0,2.28,231.09
2025-01-14,05:25:26,4.99,3.7,35.06,61.99,0,1.11,14.71
2025-01-14,05:25:36,4.99,3.7,35.07,62.03,0.02,5.38,170.89
2025-01-14,05:25:46,4.99,3.7,35.08,62,0.03,5.18,181
2025-01-14,05:25:56,4.99,3.7,35.06,61.84,0.02,2.75,50.87
2025-01-14,05:26:06,4.99,3.7,35.1,61.77,0.01,1.52,23.65
2025-01-14,05:26:16,4.99,3.7,35.1,61.91,0,3.15,58.52
2025-01-14,05:26:26,4.99,3.7,35.1,61.9,0.01,3.84,142.64
2025-01-14,05:26:36,4.99,3.7,35.13,61.96,0.01,0.37,11.13
2025-01-14,05:26:46,4.99,3.7,35.13,61.91,0,5.54,154.58
2025-01-14,05:26:56,4.99,3.7,35.13,61.85,0.04,3.03,74.51
2025-01-14,05:27:06,4.99,3.7,35.14,62.06,0,3.16,72.56
2025-01-14,05:27:16,4.99,3.7,35.14,62.3,0.02,6.73,141.67
2025-01-14,05:27:26,4.99,3.7,35.13,62.31,0.01,3.66,38.77
2025-01-14,05:27:36,4.99,3.7,35.18,62.37,0.02,8.56,72.93
2025-01-14,05:27:46,4.99,3.7,35.14,62.55,0,5.85,292.23
2025-01-14,05:27:56,4.99,3.7,35.2,62.49,0,5.72,143.37
2025-01-14,05:28:06,4.99,3.7,35.18,62.4,0,6.85,34.39
2025-01-14,05:28:16,4.99,3.7,35.21,62.51,0.06,12.82,116.65
2025-01-14,05:28:26,4.99,3.7,35.23,62.67,0.05,11.9,128.81
2025-01-14,05:28:36,4.99,3.7,35.21,62.57,0,4.83,120.24
2025-01-14,05:28:46,4.99,3.7,35.23,62.43,0.02,5.28,28.23
2025-01-14,05:28:56,4.99,3.7,35.24,62.4,0,2.94,598.38
2025-01-14,05:29:06,4.99,3.7,35.26,62.16,0.02,1.05,39.28
2025-01-14,05:29:16,4.99,3.7,35.24,61.94,0.03,1.51,40.75
2025-01-14,05:29:26,4.99,3.7,35.27,62.22,0.02,5.04,197.46
2025-01-14,05:29:37,4.99,3.7,35.26,62.19,0,1.88,70.31
2025-01-14,05:29:47,4.99,3.7,35.28,62.11,0.01,3.08,59.33
2025-01-14,05:29:57,4.99,3.7,35.27,61.96,0,2.55,11.63
2025-01-14,05:30:07,4.99,3.7,35.3,62.06,0,6.55,129.42
2025-01-14,05:30:17,4.99,3.7,35.31,61.83,0.01,0.99,18.04
2025-01-14,05:30:27,4.99,3.7,35.33,61.81,0.04,4.15,198.94
2025-01-14,05:30:37,4.99,3.7,35.31,61.98,0,5.35,275.31
2025-01-14,05:30:47,4.99,3.7,35.33,61.79,0,3.93,88.2
2025-01-14,05:30:57,4.99,3.7,35.36,61.81,0.02,3.81,76.07
2025-01-14,05:31:07,4.99,3.7,35.34,62.13,0.03,6.54,104.23
2025-01-14,05:31:17,4.99,3.7,35.38,62.33,0.03,4.72,54.6
2025-01-14,05:31:27,4.99,3.7,35.38,62.41,0.02,4.94,85.87
2025-01-14,05:31:37,4.99,3.7,35.4,62.53,0,6.65,118.79
2025-01-14,05:31:47,4.99,3.7,35.41,62.4,0.01,4.77,146.65
2025-01-14,05:31:57,4.99,3.7,35.44,62.1,0,4.98,330.62
2025-01-14,05:32:07,4.99,3.7,35.47,61.91,0,6.6,288.92
2025-01-14,05:32:17,4.99,3.7,35.47,61.96,0,6.06,124.77
2025-01-14,05:32:27,4.99,3.7,35.48,61.98,0,1.06,85.03
2025-01-14,05:32:37,4.99,3.7,35.5,62.05,0.02,2.31,31.67
2025-01-14,05:32:47,4.99,3.7,35.51,62.14,0,3.16,135.98
2025-01-14,05:32:57,4.99,3.7,35.55,61.87,0,0.81,12.93
2025-01-14,05:33:07,4.99,3.7,35.55,61.9,0.06,4.83,128.6
2025-01-14,05:33:17,4.99,3.7,35.61,61.85,0.02,2.31,90.64
2025-01-14,05:33:27,4.99,3.7,35.62,61.77,0,2.56,173.53
2025-01-14,05:33:37,4.99,3.7,35.65,61.82,0.01,4.93,202.3
2025-01-14,05:33:47,4.99,3.7,35.7,61.69,0,4.09,407.17
2025-01-14,05:33:57,4.99,3.7,35.71,61.66,0.02,5.47,571.14
2025-01-14,05:34:07,4.99,3.7,35.74,61.26,0.05,3.12,155.88
2025-01-14,05:34:17,4.99,3.7,35.78,61.36,0.02,2.69,117.94
2025-01-14,05:34:27,4.99,3.7,35.87,61.42,0,4.26,181.42
2025-01-14,05:34:37,4.99,3.7,35.89,61.23,0.02,1.26,93.22
2025-01-14,05:34:47,4.99,3.7,35.94,61.29,0.01,5.66,436.35
2025-01-14,05:34:57,4.99,3.7,35.99,61.1,0,4.67,477.71
2025-01-14,05:35:07,4.99,3.7,36.04,60.9,0.04,4.36,236.88
2025-01-14,05:35:17,4.99,3.7,36.09,60.81,0,4.65,446.69
2025-01-14,05:35:27,4.99,3.7,36.15,60.53,0,6.28,413.57
2025-01-14,05:35:37,4.99,3.7,36.21,60.45,0,4.02,492.81
2025-01-14,05:35:47,4.99,3.7,36.26,60.35,0.03,6.33,709.71
2025-01-14,05:35:57,4.99,3.7,36.31,60.04,0,1.53,64.38
2025-01-14,05:36:07,4.99,3.7,36.39,59.92,0.02,3.11,271.29
2025-01-14,05:36:17,4.99,3.7,36.42,59.87,0.03,8.65,339.86
2025-01-14,05:36:27,4.99,3.7,36.45,59.66,0,2.2,90.99
2025-01-14,05:36:37,4.99,3.7,36.5,59.56,0.03,4.01,71.85
2025-01-14,05:36:47,4.99,3.7,36.58,59.69,0.03,4.06,84.71
2025-01-14,05:36:57,4.99,3.7,36.61,59.85,0,8.91,129.99
2025-01-14,05:37:07,4.99,3.7,36.68,59.8,0.02,7.05,250.93
2025-01-14,05:37:17,4.99,3.7,36.7,59.51,0.01,1.32,84.6
2025-01-14,05:37:27,4.99,3.7,36.76,59.13,0.01,4.48,55.55
2025-01-14,05:37:37,4.99,3.7,36.82,59.29,0.01,0.69,42.37
2025-01-14,05:37:47,4.99,3.7,36.86,59.3,0,3.18,102
2025-01-14,05:37:57,4.99,3.7,36.92,59.17,0,5.12,133.29
2025-01-14,05:38:07,4.99,3.7,36.94,59.04,0.02,3.49,293.43
2025-01-14,05:38:17,4.99,3.7,37,58.89,0.01,3.8,70.06
2025-01-14,05:38:27,4.99,3.7,37.06,58.71,0,3.24,62.38
2025-01-14,05:38:37,4.99,3.7,37.09,58.72,0,2.49,96.34
2025-01-14,05:38:47,4.99,3.7,37.17,58.35,0.01,4.03,86.4
2025-01-14,05:38:57,4.99,3.7,37.24,57.91,0.04,1.4,60.46
2025-01-14,05:39:08,4.99,3.7,37.3,57.42,0.02,2.88,86.42
2025-01-14,05:39:18,4.99,3.7,37.34,57.23,0.03,3.51,175.52
2025-01-14,05:39:28,4.99,3.7,37.43,57.15,0.01,2.79,115.66
2025-01-14,05:39:38,4.99,3.7,37.46,57.03,0.01,0.98,25.87
2025-01-14,05:39:48,4.99,3.7,37.55,57.32,0.01,3.82,166.27
2025-01-14,05:39:58,4.99,3.7,37.63,57.33,0,4.77,332.92
2025-01-14,05:40:08,4.99,3.7,37.67,56.85,0,2.37,18.08
2025-01-14,05:40:18,4.99,3.7,37.74,56.86,0.02,1.63,66.42
2025-01-14,05:40:28,4.99,3.7,37.79,57.15,0.01,1.6,30.96
2025-01-14,05:40:38,4.99,3.7,37.9,57.02,0,0.41,11.12
2025-01-14,05:40:48,4.99,3.7,37.95,56.95,0.02,1.54,18.78
2025-01-14,05:40:58,4.99,3.7,38.03,56.82,0,2.85,127.64
2025-01-14,05:41:08,4.99,3.7,38.11,56.57,0,5.97,197.34
2025-01-14,05:41:18,4.99,3.7,38.2,56.34,0.02,1.5,236.32
2025-01-14,05:41:28,4.99,3.7,38.3,56.09,0,3.94,485.16
2025-01-14,05:41:38,4.99,3.7,38.38,55.62,0,4.45,297.26
2025-01-14,05:41:48,4.99,3.7,38.48,55.28,0,2.36,244.38
2025-01-14,05:41:58,4.99,3.7,38.57,55.17,0,2.94,253.3
2025-01-14,05:42:08,4.99,3.7,38.67,54.89,0,0,0.01
2025-01-14,05:42:18,4.99,3.7,38.75,54.82,0,5.42,327.62
2025-01-14,05:42:28,4.99,3.7,38.85,54.8,0.01,5.45,70.36
2025-01-14,05:42:38,4.99,3.7,38.95,54.78,0,0.76,3.59
2025-01-14,05:42:48,4.99,3.7,39.04,54.73,0.02,8.55,257.31
2025-01-14,05:42:58,4.99,3.7,39.15,54.53,0,3.23,185.47
2025-01-14,05:43:08,4.99,3.7,39.22,54.1,0,1.78,289.11
2025-01-14,05:43:18,4.99,3.7,39.33,53.73,0.01,4.2,69.45
2025-01-14,05:43:28,4.99,3.7,39.45,53.57,0.03,2.83,62.71
2025-01-14,05:43:38,4.99,3.7,39.52,53.05,0.02,3.59,59.29
2025-01-14,05:43:48,4.99,3.7,39.59,52.85,0,4.96,142.1
2025-01-14,05:43:58,4.99,3.7,39.69,52.88,0,1.27,11.39
2025-01-14,05:44:08,4.99,3.7,39.8,52.91,0.02,3.17,72.77
2025-01-14,05:44:18,4.99,3.7,39.86,52.73,0,5.05,76.93
2025-01-14,05:44:28,4.99,3.7,39.97,52.77,0.04,5.42,237.1
2025-01-14,05:44:38,4.99,3.7,40.03,52.23,0.02,2.74,48.66
2025-01-14,05:44:48,4.99,3.7,40.14,52.01,0,5.31,191.68
2025-01-14,05:44:58,4.99,3.7,40.21,51.64,0,4.2,362.23
2025-01-14,05:45:08,4.99,3.7,40.29,51.46,0.01,1.42,18.68
2025-01-14,05:45:18,4.99,3.7,40.37,51.54,0.03,2.91,113.56
2025-01-14,05:45:28,4.99,3.7,40.46,51.26,0,10.09,662.11
2025-01-14,05:45:38,4.99,3.7,40.53,50.78,0,0.92,9.56
2025-01-14,05:45:48,4.99,3.7,40.64,50.74,0.03,3.29,39.2
2025-01-14,05:45:58,4.99,3.7,40.68,50.77,0.02,4.36,73.88
2025-01-14,05:46:08,4.99,3.7,40.77,50.63,0,2.64,156.74
2025-01-14,05:46:18,4.99,3.7,40.86,50.73,0,2.5,23.04
2025-01-14,05:46:28,4.99,3.7,40.91,50.53,0,8.94,215.23
2025-01-14,05:46:38,4.99,3.7,40.96,50.22,0,2.15,20.99
2025-01-14,05:46:48,4.99,3.7,41.07,50.29,0.01,2.43,60.61
2025-01-14,05:46:58,4.99,3.7,41.12,50.25,0,3.93,181.2
2025-01-14,05:47:08,4.99,3.7,41.22,49.93,0,2.57,12.66
2025-01-14,05:47:18,4.99,3.7,41.25,49.62,0.01,0.24,3.92
2025-01-14,05:47:28,4.99,3.7,41.34,49.52,0.02,0,0
